Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
,,,"Negotiator, The (1998)",,,,I.Q. (1994),Confidence (2003),,,Courier (1987),Breakdown (1997),,,,"Exorcist III, The (1990)",Vanilla Sky (2001),East-West (Est-ouest) (1999),"Hobbit: An Unexpected Journey, The (2012)"
,,,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),,,,The Silence of the Hams (1994),Twin Peaks: Fire Walk with Me (1992),,,Sense and Sensibility (1995),Star Wars: Episode VI - Return of the Jedi (1983),,,,Triangle (2009),"Hitch Hikers Guide to the Galaxy, The (1981)",Something New (2006),"Pink Panther 2, The (2009)"
,,,Free Fire (2017),,,,Shanghai Noon (2000),Johnny Mnemonic (1995),,,"Runaways, The (2010)",Transformers (2007),,,,"Woman, The (2011)",Teenage Mutant Ninja Turtles (1990),Serving Sara (2002),Afro Samurai (2007)
,,,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),,,,Focus (2015),Machete (2010),,,Never Cry Wolf (1983),And Starring Pancho Villa as Himself (2003),,,,Mindhunters (2004),Solyaris (1968),Proof (1991),The Good Dinosaur (2015)
,,,Pépé le Moko (1937),,,,Mystic Pizza (1988),Sunshine (2007),,,"Great Dictator, The (1940)","Green Hornet, The (2011)",,,,Dracula (1931),Kung Fury (2015),Crossing Delancey (1988),Mutant Chronicles (2008)
,,,Owning Mahowny (2003),,,,Shampoo (1975),Sons of the Desert (1933),,,"Mosquito Coast, The (1986)","Blood In, Blood Out (1993)",,,,Tucker & Dale vs Evil (2010),Iron Man 3 (2013),Red Flag (2012),Once Upon a Time in Mexico (2003)
,,,School for Scoundrels (2006),,,,Limelight (1952),It Comes at Night (2017),,,"Cruel Romance, A (Zhestokij Romans) (1984)",Now You See Me 2 (2016),,,,Maggie (2015),Spaceballs (1987),Roberta (1935),Harry Potter and the Half-Blood Prince (2009)
,,,Eagle Eye (2008),,,,Monte Carlo (2011),Spiral (2007),,,"Heiress, The (1949)",Double Team (1997),,,,Grave Encounters (2011),Pi (1998),"Apartment, The (Appartement, L') (1996)",Spider-Man 2 (2004)
,,,Gangster No. 1 (2000),,,,Indian Summer (1993),Sucker Punch (2011),,,Lovers & Leavers (Kuutamolla) (2002),All Quiet on the Western Front (1930),,,,Valentine (2001),"20,000 Leagues Under the Sea (1916)",This Means War (2012),Pan (2015)
,,,Minority Report (2002),,,,Neal Brennan: 3 Mics (2017),Blackhat (2015),,,"Divorcee, The (1930)",Catch That Kid (2004),,,,Body Snatchers (1993),Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007),"Decoy Bride, The (2011)",Spy Kids 3-D: Game Over (2003)
,,,Lethal Weapon 2 (1989),,,,Serial Mom (1994),Dreamscape (1984),,,Stray Dog (Nora inu) (1949),Magnum Force (1973),,,,The Eye: Infinity (2005),Monkey Business (1952),Robin Hood (2010),Inspector Gadget (1999)
,,,The Great Train Robbery (1978),,,,Mr. & Mrs. Smith (2005),Paradise Now (2005),,,Blood and Chocolate (2007),The Hunger Games: Catching Fire (2013),,,,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",2048: Nowhere to Run (2017),Stanley & Iris (1990),Nancy Drew (2007)
,,,Heist (2001),,,,Magic in the Moonlight (2014),"Whistleblower, The (2010)",,,Freedomland (2006),Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu) (1967),,,,Maniac Cop 2 (1990),Hardcore Henry (2015),Bedrooms & Hallways (1998),Avengers: Age of Ultron (2015)
,,,Bad Company (1995),,,,Zack and Miri Make a Porno (2008),"Captive, The (2014)",,,Hyde Park on Hudson (2012),Youth of the Beast (Yaju no seishun) (1963),,,,Cornered! (2009),Saturn 3 (1980),Did You Hear About the Morgans? (2009),Kingsman: The Golden Circle (2017)
,,,From Paris with Love (2010),,,,Paper Moon (1973),Funny Games U.S. (2007),,,"Fox and the Hound, The (1981)",First Knight (1995),,,,Scary Movie (2000),Body Snatchers (1993),Jump Tomorrow (2001),"Wild Bunch, The (1969)"
,,,Alex Cross (2012),,,,Being Julia (2004),Thesis (Tesis) (1996),,,A.I. Artificial Intelligence (2001),Red River (1948),,,,"Ring, The (2002)",Beneath the Planet of the Apes (1970),Conversations with Other Women (2005),Extreme Days (2001)
,,,The Raid: Redemption (2011),,,,Shoot 'Em Up (2007),Niagara (1953),,,Dark Places (2015),"Core, The (2003)",,,,Phantasm (1979),Babylon A.D. (2008),French Twist (Gazon maudit) (1995),Barely Lethal (2015)
,,,Rush Hour 3 (2007),,,,"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)",U.S. Marshals (1998),,,"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",Okja (2017),,,,"Guardian, The (1990)",It Came from Outer Space (1953),All the Vermeers in New York (1990),The Fox and the Hound 2 (2006)
,,,"Defiant Ones, The (1958)",,,,"Jerky Boys, The (1995)",The Circle (2016),,,"Das Experiment (Experiment, The) (2001)",Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),,,,Trilogy of Terror (1975),My Stepmother Is an Alien (1988),Down to You (2000),Indiana Jones and the Kingdom of the Crystal Skull (2008)
,,,Rubber (2010),,,,Ghost Graduation (2012),Hannibal Rising (2007),,,Shrink (2009),Pineapple Express (2008),,,,Sweeney Todd (2006),Runaway Brain (1995) ,"Vow, The (2012)",Hellboy II: The Golden Army (2008)
,,,Desperate Living (1977),,,,My Best Friend's Girl (2008),Child's Play 2 (1990),,,Ordinary People (1980),Batman: Year One (2011),,,,World War Z (2013),Upstream Color (2013),Friends & Lovers (1999),ParaNorman (2012)
,,,Strangers on a Train (1951),,,,"Crimson Pirate, The (1952)",Twilight (2008),,,Sin Nombre (2009),Flash Gordon Conquers the Universe (1940),,,,Troll 2 (1990),Universal Soldier (1992),Solaris (2002),Toy Story 2 (1999)
,,,Suddenly (1954),,,,Lucky You (2007),"Good Day to Die Hard, A (2013)",,,Avanti! (1972),Green Zone (2010),,,,Candyman (1992),Her (2013),Clueless (1995),Hercules (2014)
,,,"Day of the Jackal, The (1973)",,,,FLCL (2000),"Skeleton Key, The (2005)",,,Firewall (2006),Bad Asses (Bad Ass 2) (2014),,,,Cemetery Man (Dellamorte Dellamore) (1994),Coneheads (1993),Quo Vadis (1951),Farscape: The Peacekeeper Wars (2004)
,,,On the Other Side of the Tracks (De l'autre côté du périph) (2012),,,,Be Kind Rewind (2008),Prom Night (2008),,,Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),MacGyver: Lost Treasure of Atlantis (1994),,,,The Gift (2015),Battlestar Galactica: The Plan (2009),"Walk on the Moon, A (1999)","Seven-Per-Cent Solution, The (1976)"
,,,Bad Boys (1995),,,,Free Enterprise (1998),Joy Ride (2001),,,"Dangerous Lives of Altar Boys, The (2002)",Starcrash (a.k.a. Star Crash) (1978),,,,"Revenant, The (2009)",Terminator 2: Judgment Day (1991),"Femme Nikita, La (Nikita) (1990)",Minions (2015)
,,,Judge Dredd (1995),,,,Six Days Seven Nights (1998),"Matrix Reloaded, The (2003)",,,Breaker Morant (1980),"Last Samurai, The (2003)",,,,Exorcist II: The Heretic (1977),Gintama: The Movie (2010),Christmas in Connecticut (1992),Pokémon: The First Movie (1998)
,,,Zodiac (2007),,,,Scary Movie 3 (2003),Clue (1985),,,High Art (1998),"Boot, Das (Boat, The) (1981)",,,,Onibaba (1964),Maze Runner: The Death Cure (2018),Steam: The Turkish Bath (Hamam) (1997),Batman Forever (1995)
,,,Live Free or Die Hard (2007),,,,"Object of My Affection, The (1998)",Final Analysis (1992),,,Kite (2014),Superman IV: The Quest for Peace (1987),,,,End of Days (1999),Altered States (1980),Mulholland Dr. (1999),"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)"
,,,Cleanskin (2012),,,,"Man Who Knew Too Little, The (1997)",The Voices (2014),,,Max Payne (2008),Krull (1983),,,,Gremlins (1984),"Clockwork Orange, A (1971)","For a Good Time, Call... (2012)",Escape from L.A. (1996)
,,,"Next Three Days, The (2010)",,,,Beautiful Creatures (2000),Scream (1996),,,"This World, Then the Fireworks (1997)",Plunkett & MaCleane (1999),,,,"Purge, The (2013)",Phantasm (1979),Heartbreakers (2001),LEGO Batman: The Movie - DC Heroes Unite (2013)
,,,Mulholland Falls (1996),,,,Broadway Danny Rose (1984),96 Minutes (2011) ,,,Blue Thunder (1983),Killer Elite (2011),,,,"Evil Dead, The (1981)",Push (2009),"Hunchback of Notre Dame, The (1996)",Dragon Ball GT: A Hero's Legacy (Doragon bôru GT: Gokû gaiden! Yûki no akashi wa sû-shin-chû) (1997)
,,,We Own the Night (2007),,,,Highway 61 (1991),Pulse (Kairo) (2001),,,Persuasion (2007),Flashback (1990),,,,Hour of the Wolf (Vargtimmen) (1968),Fantastic Voyage (1966),Adaptation (2002),Spectre (2015)
,,,"Boondock Saints II: All Saints Day, The (2009)",,,,Cool World (1992),"Fast & Furious (Fast and the Furious 4, The) (2009)",,,Julie & Julia (2009),Tombstone (1993),,,,Victor Frankenstein (2015),Night Guards (2016),"Beautiful Mind, A (2001)","Indian in the Cupboard, The (1995)"
,,,Perfume: The Story of a Murderer (2006),,,,"6th Man, The (Sixth Man, The) (1997)","Long Kiss Goodnight, The (1996)",,,3 Idiots (2009),Black Hawk Down (2001),,,,Maniac Cop (1988),"Boy and His Dog, A (1975)",Sleepy Hollow (1999),Jumper (2008)
,,,Punisher: War Zone (2008),,,,Re-Animator (1985),"Last Supper, The (1995)",,,Last Man Standing (1996),"Omega Man, The (1971)",,,,Leprechaun (1993),Futurama: Bender's Big Score (2007),"Last Song, The (2010)","Hunt For Gollum, The (2009)"
,,,Unleashed (Danny the Dog) (2005),,,,"English Teacher, The (2013)","Quiet American, The (2002)",,,Behind the Candelabra (2013),3 Days to Kill (2014),,,,Halloween 4: The Return of Michael Myers (1988),Godzilla: Final Wars (Gojira: Fainaru uôzu) (2004),Revolutionary Road (2008),Paulie (1998)
,,,"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)",,,,"Exterminating Angel, The (Ángel exterminador, El) (1962)",Lethal Weapon 4 (1998),,,Giant (1956),Night at the Museum (2006),,,,Poltergeist III (1988),Universal Soldier: Day of Reckoning (2012),"Midsummer Night's Sex Comedy, A (1982)","Rocketeer, The (1991)"
,,,Police Story (Ging chaat goo si) (1985),,,,Schlussmacher (2013),Mona Lisa (1986),,,Room (2015),Deep Blue Sea (1999),,,,Psycho Beach Party (2000),World of Tomorrow (2015),North by Northwest (1959),"Incredibles, The (2004)"
,,,Casino Jack (2010),,,,"Apple Dumpling Gang, The (1975)",Black Widow (1987),,,Magic Mike XXL (2015),Under Siege (1992),,,,Wrong Turn 2: Dead End (2007),Victor Frankenstein (2015),Dil To Pagal Hai (1997),Man of Steel (2013)
,,,"Invisible, The (2007)",,,,John Mulaney: The Comeback Kid (2015),Timecop (1994),,,"Night, The (Notte, La) (1960)",Prison Break: The Final Break (2009),,,,"Fog, The (2005)",Wizards (1977),Along Came Polly (2004),X-Men: First Class (2011)
,,,Pawn (2013),,,,We're the Millers (2013),Kidnapping Mr. Heineken (2015),,,Wendigo (2001),Rumble in the Bronx (Hont faan kui) (1995),,,,A Quiet Place (2018),Jupiter Ascending (2015),New Year's Eve (2011),First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
,,,"Simple Plan, A (1998)",,,,Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),Infini (2015),,,Topsy-Turvy (1999),Teenage Mutant Ninja Turtles: Out of the Shadows (2016),,,,Cube 2: Hypercube (2002),Guyver: Dark Hero (1994),She's Gotta Have It (1986),"Incredible Journey, The (1963)"
,,,"Collector, The (2009)",,,,99 francs (2007),"Crazies, The (a.k.a. Code Name: Trixie) (1973)",,,Seeking a Friend for the End of the World (2012),Farewell to the King (1989),,,,Day Watch (Dnevnoy dozor) (2006),Short Circuit (1986),Modern Times (1936),The Lovers (2015)
,,,La Cérémonie (1995),,,,More American Graffiti (1979),Black Book (Zwartboek) (2006),,,"Getaway, The (1994)","Professional, The (Le professionnel) (1981)",,,,"Woman in Black, The (2012)",Cube 2: Hypercube (2002),Vampire in Brooklyn (1995),The Great Train Robbery (1978)
,,,800 Bullets (800 Balas) (2002),,,,"Captain Newman, M.D. (1963)",Creep (2004),,,Buddy (1997),"Dam Busters, The (1955)",,,,"Wraith, The (1986)",Nothing (2003),Easy A (2010),Lord of the Flies (1990)
,,,Confidential Report (1955),,,,7 Days in Hell (2015),Wrong Turn (2003),,,Fight Club (1999),San Andreas (2015),,,,Halloween (2007),"Wraith, The (1986)",Brown Sugar (2002),Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008)
,,,Machete Kills (Machete 2) (2013),,,,If Lucy Fell (1996),"Matrix Revolutions, The (2003)",,,PK (2014),Batman & Robin (1997),,,,Eye See You (D-Tox) (2002),Westworld (1973),Boys and Girls (2000),Goosebumps (2015)
,,,"Postman Always Rings Twice, The (1981)",,,,Harold & Kumar Escape from Guantanamo Bay (2008),Ravenous (1999),,,West Beirut (West Beyrouth) (1998),Billy Jack (1971),,,,Child's Play 3 (1991),ARQ (2016),Maybe Baby (2000),Life of Pi (2012)
,,,Taken (2008),,,,Mind Game (2004),Basic Instinct 2 (2006),,,Mother! (2017),Premium Rush (2012),,,,"Brood, The (1979)",Elysium (2013),On the Town (1949),Darby O'Gill and the Little People (1959)
,,,Above the Rim (1994),,,,Radio Day (2008),"Usual Suspects, The (1995)",,,My Life (1993),Snow White and the Huntsman (2012),,,,Stuck (2007),"Time Machine, The (2002)","Next Karate Kid, The (1994)",Phineas and Ferb the Movie: Across the 2nd Dimension (2011)
,,,"Tall Man, The (2012)",,,,Bad Milo (Bad Milo!) (2013),Breakdown (1997),,,Love Liza (2002),Battle for the Planet of the Apes (1973),,,,Puppet Master II (1991),"Road Warrior, The (Mad Max 2) (1981)",What's Your Number? (2011),Robots (2005)
,,,Charley Varrick (1973),,,,Gremlins 2: The New Batch (1990),Transformers (2007),,,Captain Corelli's Mandolin (2001),Kung Fu Panda: Secrets of the Furious Five (2008),,,,Begotten (1990),Puppet Master II (1991),My Name Is Joe (1998),Ladyhawke (1985)
,,,Monster (2003),,,,Curious George (2006),"Girl Next Door, The (2007)",,,"Twilight Samurai, The (Tasogare Seibei) (2002)",Conan the Barbarian (2011),,,,Horns (2014),Thor: Ragnarok (2017),Here Comes Mr. Jordan (1941),Alpha and Omega 3: The Great Wolf Games (2014)
,,,We're No Angels (1955),,,,Like Mike (2002),"Green Hornet, The (2011)",,,The Spectacular Now (2013),"I, Frankenstein (2014)",,,,Snakes on a Plane (2006),Jurassic Park III (2001),Tom Jones (1963),"Defiant Ones, The (1958)"
,,,Dead or Alive 2: Tôbôsha (2000),,,,Music and Lyrics (2007),"Blood In, Blood Out (1993)",,,"Walking Dead, The (1995)",National Treasure (2004),,,,Mortuary (1983),Battle Beyond the Stars (1980),"Education, An (2009)",Rubber (2010)
,,,Ocean's Thirteen (2007),,,,Three Men and a Baby (1987),Now You See Me 2 (2016),,,Lost Highway (1997),"Expendables, The (2010)",,,,Dead Heat (1988),Stingray Sam (2009),"Crying Game, The (1992)","Norte, El (1984)"
,,,Deliver Us from Evil (2014),,,,Wasabi (2001),Strange Circus (Kimyô na sâkasu) (2005),,,If I Stay (2014),Once a Thief (Zong heng si hai) (1991),,,,The Green Inferno (2014),Dead Heat (1988),War and Peace (1956),Sword Art Online The Movie: Ordinal Scale (2017)
,,,"Three Burials of Melquiades Estrada, The (2006)",,,,Due Date (2010),After Hours (1985),,,Mercury Plains (2016),Teenage Mutant Ninja Turtles (2014),,,,Last Shift (2014),Equilibrium (2002),Shadowlands (1993),Executive Decision (1996)
,,,Who'll Stop the Rain (1978),,,,Jim Gaffigan: Cinco (2017),"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",,,My Family (1995),On Her Majesty's Secret Service (1969),,,,Scream 2 (1997),High Society (1956),"Rewrite, The (2014)","Thief of Bagdad, The (1924)"
,,,Lights in the Dusk (Laitakaupungin valot) (2006),,,,"Bug's Life, A (1998)",Teaching Mrs. Tingle (1999),,,Adam and Eve (National Lampoon's Adam & Eve) (2005),"Bourne Identity, The (1988)",,,,"Hills Have Eyes, The (2006)",Masters of the Universe (1987),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Starman (1984)
,,,Murder by Death (1976),,,,Deadpool (2016),Silence (2016),,,San Francisco (1936),"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",,,,"Haunted House 2, A (2014)","Timecrimes (Cronocrímenes, Los) (2007)",Shall We Dance? (Shall We Dansu?) (1996),Delta Force 2 (Delta Force 2: The Colombian Connection) (1990)
,,,Donnie Brasco (1997),,,,American Graffiti (1973),Magnum Force (1973),,,Sweet Bird of Youth (1962),"Phantom, The (1996)",,,,The Neon Demon (2016),Family Guy Presents: It's a Trap (2010),Mermaids (1990),Sidekicks (1992)
,,,"Place Beyond the Pines, The (2012)",,,,Ever After: A Cinderella Story (1998),"Vanishing, The (Spoorloos) (1988)",,,"Musketeer, The (2001)",Beverly Hills Ninja (1997),,,,"Innocents, The (1961)",Metropia (2009),Much Ado About Nothing (2012),Mission: Impossible - Ghost Protocol (2011)
,,,Legend (2015),,,,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Primal Fear (1996),,,Talk Radio (1988),Broken Arrow (1996),,,,"Loved Ones, The (2009)",Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),Big (1988),El Cid (1961)
,,,Mud (2012),,,,Animal Crackers (1930),Stakeout (1987),,,Bartleby (2001),Sneakers (1992),,,,Dawn of the Dead (2004),Logan (2017),"Brothers Bloom, The (2008)",Homeward Bound II: Lost in San Francisco (1996)
,,,Jimmy Hollywood (1994),,,,13 Going on 30 (2004),Suture (1993),,,Sling Blade (1996),DOA: Dead or Alive (2006),,,,"Crow: Salvation, The (2000)",16 Blocks (2006),Gentlemen Prefer Blondes (1953),Ernest & Célestine (Ernest et Célestine) (2012)
,,,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",,,,Aladdin (1992),Jin Roh: The Wolf Brigade (Jin-Rô) (1998),,,Respiro (2002),Transformers: Dark of the Moon (2011),,,,"Mothman Prophecies, The (2002)",Transformers: Revenge of the Fallen (2009),Waitress (2007),Chain Reaction (1996)
,,,Face/Off (1997),,,,Human Nature (2001),"Blair Witch Project, The (1999)",,,Three Outlaw Samurai (Sanbiki no samurai) (1964),Killshot (2008),,,,Slumber Party Massacre II (1987),Star Trek II: The Wrath of Khan (1982),Squirm (1976),Live Free or Die Hard (2007)
,,,Legal Eagles (1986),,,,Army of Darkness (1993),"Body Snatcher, The (1945)",,,101 Reykjavik (101 Reykjavík) (2000),Dr. No (1962),,,,Hocus Pocus (1993),Voices of a Distant Star (Hoshi no koe) (2003),Monster's Ball (2001),"Host, The (2013)"
,,,Alien Nation (1988),,,,"Slums of Beverly Hills, The (1998)","Core, The (2003)",,,Undertow (2004),Ratchet & Clank (2016),,,,"Little Shop of Horrors, The (1960)",Men in Black III (M.III.B.) (M.I.B.³) (2012),Barfly (1987),Fantastic Four (2005)
,,,Cop Car (2015),,,,Walk Hard: The Dewey Cox Story (2007),King of New York (1990),,,"Wages of Fear, The (Salaire de la peur, Le) (1953)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),,,,"Others, The (2001)",Knowing (2009),Immortal Beloved (1994),Up (2009)
,,,Dick Tracy (1990),,,,Game 6 (2005),Body Heat (1981),,,"Grifters, The (1990)",Resident Evil: Afterlife (2010),,,,[REC] (2007),Justice League (2017),Life or Something Like It (2002),Camp Nowhere (1994)
,,,"Innocent Man, An (1989)",,,,"Lot Like Love, A (2005)",Poison Ivy: New Seduction (1997),,,Strange Days (1995),"Crazies, The (2010)",,,,Children of the Night (1991),Rogue One: A Star Wars Story (2016),Love's Labour's Lost (2000),Warriors of Heaven and Earth (Tian di ying xiong) (2003)
,,,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",,,,Chasing Amy (1997),Green Zone (2010),,,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Bandidas (2006),,,,Abraham Lincoln: Vampire Hunter (2012),Battleship (2012),I Was a Male War Bride (1949),Demolition Man (1993)
,,,"Sentinel, The (2006)",,,,Sorority Babes in the Slimeball Bowl-O-Rama (1988),Every Secret Thing (2014),,,Take Me Home Tonight (2011),Heavy Metal 2000 (2000),,,,Dr. Jekyll and Mr. Hyde (1941),The Pumaman (1980),Vamps (2012),Return to Never Land (2002)
,,,B/W (2015),,,,For the Love of Benji (1977),Hollywoodland (2006),,,Shadows and Fog (1991),Superman Returns (2006),,,,Dead Meat (2004),Star Trek V: The Final Frontier (1989),"Farewell to Arms, A (1932)",Power Rangers (2017)
,,,The Mule (2014),,,,Arachnophobia (1990),The Town that Dreaded Sundown (2014),,,"Interpreter, The (2005)",Legion (2010),,,,Dead Ringers (1988),K-PAX (2001),Sweet Home Alabama (2002),Dragon Blade (2015)
,,,Nurse Betty (2000),,,,Denis Leary: No Cure for Cancer (1993),Killer Elite (2011),,,Rocky V (1990),"Last Airbender, The (2010)",,,,Below (2002),Millennium (1989),Duel in the Sun (1946),Benji (1974)
,,,Control (Kontroll) (2003),,,,Ocean's Eleven (a.k.a. Ocean's 11) (1960),A Most Wanted Man (2014),,,Death of a President (2006),Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),,,,"Lost Boys, The (1987)",Man's Best Friend (1993),"Hello, Dolly! (1969)","Lord of the Rings, The (1978)"
,,,"What's Up, Tiger Lily? (1966)",,,,Be Cool (2005),Seven Days in May (1964),,,Woyzeck (1979),Daredevil (2003),,,,Insidious: The Last Key (2018),"Thing from Another World, The (1951)",Captain Blood (1935),Doctor Who: The Next Doctor (2008)
,,,Cassandra's Dream (2007),,,,Victor/Victoria (1982),"Thirteenth Floor, The (1999)",,,"Yards, The (2000)",Fortress (1992),,,,Stake Land (2010),X-Men: Apocalypse (2016),Bandits (2001),Ben-Hur (1959)
,,,Little Caesar (1931),,,,Oscar (1991),Crimson Tide (1995),,,"Collector, The (1965)",Casshern (2004),,,,"Nightmare on Elm Street, A (1984)",2010: The Year We Make Contact (1984),"Prince & Me, The (2004)",Crocodile Dundee (1986)
,,,"Big Hit, The (1998)",,,,"Barefoot Executive, The (1971)",Videodrome (1983),,,Cool Hand Luke (1967),Reindeer Games (2000),,,,Thirst (Bakjwi) (2009),*batteries not included (1987),For Roseanna (Roseanna's Grave) (1997),Spy Kids (2001)
,,,Above the Law (1988),,,,"Law of Desire (Ley del deseo, La) (1987)","Omega Man, The (1971)",,,"Player, The (1992)",Cobra (1986),,,,Scouts Guide to the Zombie Apocalypse (2015),Jennifer's Body (2009),Holiday (1938),Beverly Hills Chihuahua (2008)
,,,Micmacs (Micmacs à tire-larigot) (2009),,,,Don Camillo in Moscow (1965),Final Destination 3 (2006),,,Mutiny on the Bounty (1935),This Means War (2012),,,,Man's Best Friend (1993),Our Man Flint (1965),Hannah and Her Sisters (1986),Topkapi (1964)
,,,"Thomas Crown Affair, The (1968)",,,,Something Borrowed (2011),Deep Blue Sea (1999),,,Peaceful Warrior (2006),Indiana Jones and the Last Crusade (1989),,,,Horror of Dracula (Dracula) (1958),"World's End, The (2013)",Tie Me Up! Tie Me Down! (¡Átame!) (1990),"Poseidon Adventure, The (1972)"
,,,"Black Dahlia, The (2006)",,,,Monty Python Live at the Hollywood Bowl (1982),Under Siege (1992),,,Stigmata (1999),"Principal, The (1987)",,,,"Thing from Another World, The (1951)",Unforgettable (1996),"Break-Up, The (2006)","Bourne Legacy, The (2012)"
,,,District 13 (Banlieue 13) (2004),,,,Super (2010),Dominion: Prequel to the Exorcist (2005),,,"Air I Breathe, The (2007)","Crossing Guard, The (1995)",,,,Helter Skelter (2004),Ender's Game (2013),A Man from Boulevard des Capucines (1987),K-19: The Widowmaker (2002)
,,,Brother (2000),,,,Jeff Dunham: All Over the Map (2014),Prison Break: The Final Break (2009),,,Buddy Boy (1999),"Last Legion, The (2007)",,,,Jennifer's Body (2009),Doomsday (2008),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996)
,,,High Sierra (1941),,,,Yogi Bear (2010),"Professional, The (Le professionnel) (1981)",,,Shining Through (1992),Headhunters (Hodejegerne) (2011),,,,The Lair of the White Worm (1988),The Hunger Games (2012),Scrooged (1988),Turbo: A Power Rangers Movie (1997)
,,,Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989),,,,Vacation (2015),Pontypool (2008),,,Little Big League (1994),After the Sunset (2004),,,,Trick 'r Treat (2007),Babylon 5: Thirdspace (1998),What to Expect When You're Expecting (2012),Cliffhanger (1993)
,,,"Scotland, Pa. (2001)",,,,Hannah Montana: The Movie (2009),"Eye, The (Gin gwai) (Jian gui) (2002)",,,"Russia House, The (1990)",Robin Hood (2010),,,,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)","20,000 Leagues Under the Sea (1954)",Northwest Passage (1940),"Adventures of Sharkboy and Lavagirl 3-D, The (2005)"
,,,Muppets Most Wanted (2014),,,,Coming to America (1988),San Andreas (2015),,,Wizards of Waverly Place: The Movie (2009),"River Wild, The (1994)",,,,Dracula 2000 (2000),Cherry 2000 (1987),All the Real Girls (2003),Lassie (1994)
,,,"Fast and the Furious, The (2001)",,,,"Kiss Me, Guido (1997)","Abandoned, The (2006)",,,Zipper (2015),xXx: State of the Union (2005),,,,Watchmen: Tales of the Black Freighter (2009),Leonard Part 6 (1987),How to Make an American Quilt (1995),Princess Mononoke (Mononoke-hime) (1997)
,,,"Enforcer, The (1976)",,,,"Other Guys, The (2010)",Batman & Robin (1997),,,"Dangerous Method, A (2011)",Final Fantasy VII: Advent Children (2004),,,,Zombeavers (2014),"Chronicles of Riddick, The (2004)",Speed 2: Cruise Control (1997),Red Cliff (Chi bi) (2008)
,,,"Ice Harvest, The (2005)",,,,Nothing in Common (1986),Premium Rush (2012),,,Ashes and Diamonds (Popiól i diament) (1958),Formula 51 (2001),,,,Halloween II (2009),"Happening, The (2008)",Cemetery Junction (2010),Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994)
,,,Pathology (2008),,,,Take the Money and Run (1969),Drive (2011),,,"Counterfeiters, The (Die Fälscher) (2007)","Score, The (2001)",,,,Ju-on: The Grudge (2002),Justice League: Crisis on Two Earths (2010),I Like It Like That (1994),Power/Rangers (2015)
,,,"Roaring Twenties, The (1939)",,,,Georgy Girl (1966),Revolver (2005),,,Angels and Insects (1995),MacGruber (2010),,,,Dead Fury (2008),The Amazing Screw-On Head (2006),Dr. T and the Women (2000),"African Queen, The (1951)"
,,,Man Bites Dog (C'est arrivé près de chez vous) (1992),,,,Elling (2001),Atomic Blonde (2017),,,"Separation, A (Jodaeiye Nader az Simin) (2011)","Postman, The (1997)",,,,"Craft, The (1996)",Wing Commander (1999),Duplicity (2009),Joe Dirt (2001)
,,,"Funeral, The (1996)",,,,Waydowntown (2000),"Birds, The (1963)",,,Midnight in the Garden of Good and Evil (1997),Stander (2003),,,,My Bloody Valentine (1981),"Island, The (2005)",Not Suitable for Children (2012),To Have and Have Not (1944)
